# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.50000000 ps, Average over 5 waveforms. Timestamp: 2024-11-18T11:19:45
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.41411773	0.00060614
-166.38078442	-0.00048772
-166.34745110	0.00031289
-166.31411779	-0.00040146
-166.28078447	-0.00064139
-166.24745116	-0.00018142
-166.21411784	0.00000405
-166.18078453	0.00134315
-166.14745121	-0.00005110
-166.11411790	-0.00032597
-166.08078459	0.00025432
-166.04745127	-0.00023919
-166.01411796	-0.00026829
-165.98078464	-0.00103232
-165.94745133	-0.00064461
-165.91411801	0.00089972
-165.88078470	-0.00018132
-165.84745138	-0.00043252
-165.81411807	-0.00047318
-165.78078475	-0.00025948
-165.74745144	-0.00034168
-165.71411812	0.00014096
-165.68078481	0.00032057
-165.64745149	0.00035586
-165.61411818	0.00082509
-165.58078486	0.00069178
-165.54745155	0.00002745
-165.51411823	-0.00001057
-165.48078492	0.00022538
-165.44745160	-0.00003513
-165.41411829	-0.00071232
-165.38078497	0.00052267
-165.34745166	0.00091644
-165.31411835	-0.00038911
-165.28078503	-0.00035804
-165.24745172	0.00045875
-165.21411840	0.00132790
-165.18078509	0.00116824
-165.14745177	0.00020141
-165.11411846	0.00113356
-165.08078514	0.00126283
-165.04745183	0.00056531
-165.01411851	0.00105887
-164.98078520	0.00046994
-164.94745188	0.00058491
-164.91411857	0.00063904
-164.88078525	0.00049927
-164.84745194	0.00084584
-164.81411862	0.00066913
-164.78078531	0.00071416
-164.74745199	0.00155969
-164.71411868	0.00128211
-164.68078536	0.00000263
-164.64745205	0.00044124
-164.61411873	0.00078574
-164.58078542	-0.00000890
-164.54745211	0.00151191
-164.51411879	0.00078275
-164.48078548	0.00044959
-164.44745216	0.00058028
-164.41411885	0.00029075
-164.38078553	0.00025038
-164.34745222	-0.00016574
-164.31411890	0.00010011
-164.28078559	0.00122173
-164.24745227	0.00101658
-164.21411896	0.00136926
-164.18078564	0.00097965
-164.14745233	0.00168879
-164.11411901	0.00078232
