# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.50000000 ps, Average over 5 waveforms. Timestamp: 2025-02-14T08:46:47
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.41411773	-0.00001767
-166.38078442	0.00028794
-166.34745110	0.00054557
-166.31411779	0.00059504
-166.28078447	-0.00075732
-166.24745116	0.00035191
-166.21411784	0.00006614
-166.18078453	-0.00014248
-166.14745121	-0.00048724
-166.11411790	-0.00036640
-166.08078459	-0.00020285
-166.04745127	0.00024424
-166.01411796	0.00060376
-165.98078464	-0.00036948
-165.94745133	0.00058687
-165.91411801	0.00028735
-165.88078470	0.00028629
-165.84745138	0.00063882
-165.81411807	0.00040780
-165.78078475	-0.00009836
-165.74745144	-0.00027781
-165.71411812	0.00002224
-165.68078481	0.00046512
-165.64745149	-0.00022097
-165.61411818	0.00014754
-165.58078486	-0.00011941
-165.54745155	-0.00065493
-165.51411823	-0.00098412
-165.48078492	-0.00080213
-165.44745160	-0.00003549
-165.41411829	-0.00024292
-165.38078497	-0.00031756
-165.34745166	-0.00058405
-165.31411835	-0.00087593
-165.28078503	-0.00026185
-165.24745172	-0.00043937
-165.21411840	0.00021054
-165.18078509	0.00002386
-165.14745177	0.00065033
-165.11411846	-0.00002539
-165.08078514	0.00007589
-165.04745183	-0.00005663
-165.01411851	-0.00000925
-164.98078520	-0.00008419
-164.94745188	0.00004004
-164.91411857	0.00045810
-164.88078525	0.00080091
-164.84745194	0.00062544
-164.81411862	0.00073571
-164.78078531	0.00075711
-164.74745199	0.00042001
-164.71411868	0.00051555
-164.68078536	-0.00048101
-164.64745205	0.00030117
-164.61411873	0.00036957
-164.58078542	0.00036050
-164.54745211	0.00073589
-164.51411879	0.00061257
-164.48078548	-0.00001683
-164.44745216	-0.00012212
-164.41411885	-0.00056074
-164.38078553	-0.00105640
-164.34745222	-0.00012507
-164.31411890	0.00054476
-164.28078559	0.00090188
-164.24745227	0.00061625
-164.21411896	0.00094587
-164.18078564	0.00073254
-164.14745233	0.00068909
-164.11411901	0.00007887
-164.08078570	-0.00007015
-164.04745238	0.00069674
-164.01411907	0.00073544
-163.98078575	0.00091852
-163.94745244	-0.00049988
-163.91411912	0.00049451
-163.88078581	0.00028335
-163.84745249	0.00107676
-163.81411918	-0.00023699
-163.78078587	-0.00101498
-163.74745255	0.00043589
-163.71411924	-0.00011682
-163.68078592	-0.00026597
-163.64745261	0.00022403
-163.61411929	-0.00051586
-163.58078598	0.00044708
-163.54745266	0.00047186
-163.51411935	-0.00011632
-163.48078603	-0.00022647
-163.44745272	0.00016016
