# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:40:49
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.14750458	0.00000000
-166.11417127	-0.00000003
-166.08083796	-0.00000000
-166.04750464	0.00000010
-166.01417133	-0.00000064
-165.98083802	-0.00000039
-165.94750470	-0.00000090
-165.91417139	-0.00000065
-165.88083808	0.00000032
-165.84750477	-0.00000101
-165.81417145	0.00000027
-165.78083814	0.00000045
-165.74750483	0.00000059
-165.71417151	0.00000043
-165.68083820	0.00000121
-165.64750489	-0.00000040
-165.61417157	-0.00000505
-165.58083826	-0.00000804
-165.54750495	0.00000559
-165.51417164	-0.00000723
-165.48083832	-0.00000742
-165.44750501	0.00000522
-165.41417170	0.00000986
-165.38083838	0.00001549
-165.34750507	0.00001185
-165.31417176	0.00001797
-165.28083845	0.00000947
-165.24750513	0.00002399
-165.21417182	0.00000938
-165.18083851	0.00002565
-165.14750519	0.00001631
-165.11417188	0.00002257
-165.08083857	0.00003032
-165.04750526	0.00004699
-165.01417194	0.00007573
-164.98083863	0.00006594
-164.94750532	0.00006097
-164.91417200	0.00003417
-164.88083869	-0.00000230
-164.84750538	0.00002184
-164.81417207	-0.00000229
-164.78083875	0.00008199
-164.74750544	0.00006931
-164.71417213	0.00004918
-164.68083881	0.00001899
-164.64750550	-0.00001328
-164.61417219	0.00000654
-164.58083888	0.00009308
-164.54750556	0.00008003
-164.51417225	0.00005317
-164.48083894	0.00006544
-164.44750562	0.00004489
-164.41417231	0.00002335
-164.38083900	-0.00002218
-164.34750568	-0.00005041
-164.31417237	0.00005863
-164.28083906	0.00007031
-164.24750575	0.00006689
-164.21417243	-0.00000408
-164.18083912	0.00000045
-164.14750581	0.00010481
-164.11417249	0.00014794
-164.08083918	-0.00004972
-164.04750587	0.00014559
-164.01417256	0.00000894
-163.98083924	0.00006194
-163.94750593	0.00010037
-163.91417262	-0.00017017
-163.88083930	0.00016243
