# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:21:57
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-18.26852819
0.00732601	-17.68723400
0.01465202	-19.11869001
0.02197804	-19.25190780
0.02930405	-19.64331285
0.03663006	-19.49358261
0.04395607	-19.32197244
0.05128208	-19.01547929
0.05860809	-19.07904099
0.06593411	-19.04490644
0.07326012	-17.93979401
0.08058613	-20.50402458
0.08791214	-17.39829427
0.09523815	-17.45631464
0.10256417	-21.73480773
0.10989018	-18.09963561
0.11721619	-17.85777895
0.12454220	-20.79495827
0.13186821	-20.07053137
0.13919422	-18.43257428
0.14652024	-22.05454087
0.15384625	-20.27591892
0.16117226	-18.09234165
0.16849827	-17.52219138
0.17582428	-20.96034844
0.18315030	-19.07765115
0.19047631	-18.46832276
0.19780232	-17.22846090
0.20512833	-17.24928812
0.21245434	-17.85859447
0.21978035	-15.89747046
0.22710637	-13.84309086
0.23443238	-13.73616446
0.24175839	-15.04145580
0.24908440	-11.84931310
0.25641041	-12.14854797
0.26373643	-12.23784001
0.27106244	-9.53215062
0.27838845	-9.86679748
0.28571446	-10.57763989
0.29304047	-9.09847797
0.30036648	-8.23684343
0.30769250	-9.04400741
0.31501851	-8.94184062
0.32234452	-7.40238672
0.32967053	-6.94450577
0.33699654	-8.39425227
0.34432256	-7.38677106
0.35164857	-6.00738876
0.35897458	-6.64383311
0.36630059	-6.27576615
0.37362660	-5.46885125
0.38095261	-5.36336324
0.38827863	-4.89434077
0.39560464	-4.93778288
0.40293065	-4.71212389
0.41025666	-4.50558479
0.41758267	-4.35965111
0.42490869	-4.31364874
0.43223470	-4.00887424
0.43956071	-3.95203856
0.44688672	-3.94121863
0.45421273	-3.14704531
0.46153874	-3.42125492
0.46886476	-3.32545604
0.47619077	-2.75593894
0.48351678	-3.01119793
0.49084279	-2.52822271
0.49816880	-2.47727357
0.50549482	-2.59579266
0.51282083	-1.79183922
0.52014684	-2.03819024
0.52747285	-2.23201371
0.53479886	-1.33511481
0.54212487	-2.33267015
0.54945089	-2.22333462
0.55677690	-6.45416730
0.56410291	-2.94035295
0.57142892	-1.31755493
0.57875493	-1.24402560
0.58608095	-1.31202601
0.59340696	-0.47439026
0.60073297	-0.95964329
0.60805898	-0.60365045
0.61538499	-0.14783815
0.62271100	-0.84142227
0.63003702	-0.07303060
0.63736303	-0.25994554
0.64468904	-0.46205146
0.65201505	0.00000000
0.65934106	-0.44666147
0.66666708	-0.15559688
0.67399309	-0.23616063
0.68131910	-0.56980579
0.68864511	-0.09387612
0.69597112	-0.42853772
0.70329713	-0.39733984
0.71062315	-0.27930005
0.71794916	-0.52929349
0.72527517	-0.31246407
0.73260118	-0.56430865
0.73992719	-0.65877126
0.74725321	-1.50868808
0.75457922	-3.77458057
0.76190523	-0.85789387
0.76923124	-1.01223825
0.77655725	-0.63259747
0.78388326	-0.91344127
0.79120928	-0.70771135
0.79853529	-0.82443908
0.80586130	-0.88302295
0.81318731	-0.70960621
0.82051332	-0.71109079
0.82783934	-0.61087814
0.83516535	-0.52784520
0.84249136	-0.60486960
0.84981737	-0.57242254
0.85714338	-0.49671280
0.86446939	-0.70420342
0.87179541	-0.43217435
0.87912142	-0.55561363
0.88644743	-0.62814778
0.89377344	-0.49833420
0.90109945	-0.74208092
0.90842547	-0.66748003
0.91575148	-0.76093962
0.92307749	-0.77189150
0.93040350	-0.62634888
0.93772951	-0.72245384
0.94505552	-0.85978653
0.95238154	-0.66263395
0.95970755	-0.95858646
0.96703356	-0.88847759
0.97435957	-1.01423819
