# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:39:58
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-18.42087295
0.00732601	-17.44614424
0.01465202	-19.32545780
0.02197804	-19.08525616
0.02930405	-19.70899455
0.03663006	-19.29059101
0.04395607	-19.18838802
0.05128208	-18.93615585
0.05860809	-18.83100751
0.06593411	-18.91773187
0.07326012	-17.74573320
0.08058613	-20.24561392
0.08791214	-17.30375571
0.09523815	-17.47705179
0.10256417	-21.52805994
0.10989018	-18.08519938
0.11721619	-17.74324733
0.12454220	-20.66846036
0.13186821	-19.87155790
0.13919422	-18.29693513
0.14652024	-21.86707198
0.15384625	-20.08655661
0.16117226	-17.87098754
0.16849827	-17.30701662
0.17582428	-20.70211323
0.18315030	-18.93560624
0.19047631	-18.29168277
0.19780232	-17.05324770
0.20512833	-17.21223842
0.21245434	-17.80735779
0.21978035	-15.81951867
0.22710637	-13.76779307
0.23443238	-13.68642950
0.24175839	-14.92453405
0.24908440	-11.80396759
0.25641041	-12.09043974
0.26373643	-12.19591498
0.27106244	-9.50779800
0.27838845	-9.84883434
0.28571446	-10.53908027
0.29304047	-9.05037647
0.30036648	-8.18684509
0.30769250	-8.98483273
0.31501851	-8.90152743
0.32234452	-7.36336774
0.32967053	-6.92544761
0.33699654	-8.37281659
0.34432256	-7.33215155
0.35164857	-5.97023858
0.35897458	-6.61968984
0.36630059	-6.21620353
0.37362660	-5.44430241
0.38095261	-5.33830459
0.38827863	-4.86483676
0.39560464	-4.90996150
0.40293065	-4.66308514
0.41025666	-4.46496629
0.41758267	-4.32760828
0.42490869	-4.27832191
0.43223470	-3.97582118
0.43956071	-3.92999881
0.44688672	-3.91259001
0.45421273	-3.11595526
0.46153874	-3.39862389
0.46886476	-3.27588950
0.47619077	-2.72192283
0.48351678	-2.95625817
0.49084279	-2.48786823
0.49816880	-2.43954178
0.50549482	-2.54713421
0.51282083	-1.75316683
0.52014684	-1.99483815
0.52747285	-2.20116116
0.53479886	-1.31446235
0.54212487	-2.31516446
0.54945089	-2.19106059
0.55677690	-6.31104811
0.56410291	-2.86029838
0.57142892	-1.28103201
0.57875493	-1.21207375
0.58608095	-1.28306736
0.59340696	-0.44890331
0.60073297	-0.93680693
0.60805898	-0.59417565
0.61538499	-0.14202436
0.62271100	-0.83155088
0.63003702	-0.06394709
0.63736303	-0.24943269
0.64468904	-0.46163598
0.65201505	0.00000000
0.65934106	-0.46545007
0.66666708	-0.15367969
0.67399309	-0.26120042
0.68131910	-0.58818906
0.68864511	-0.12227457
0.69597112	-0.46345945
0.70329713	-0.41731066
0.71062315	-0.31229163
0.71794916	-0.55354296
0.72527517	-0.33771357
0.73260118	-0.58338053
0.73992719	-0.66668274
0.74725321	-1.50854779
0.75457922	-3.67989840
0.76190523	-0.83439459
0.76923124	-0.99003203
0.77655725	-0.61148306
0.78388326	-0.89316356
0.79120928	-0.68624072
0.79853529	-0.78694474
0.80586130	-0.84571160
0.81318731	-0.66957423
0.82051332	-0.66879486
0.82783934	-0.57537107
0.83516535	-0.47941780
0.84249136	-0.56417286
0.84981737	-0.51613586
0.85714338	-0.43784026
0.86446939	-0.64740129
0.87179541	-0.36905251
0.87912142	-0.49606385
0.88644743	-0.56087073
0.89377344	-0.42433968
0.90109945	-0.66733318
0.90842547	-0.58555976
0.91575148	-0.67753113
0.92307749	-0.68547833
0.93040350	-0.55045688
0.93772951	-0.63739384
0.94505552	-0.77819851
0.95238154	-0.58179021
0.95970755	-0.87640729
0.96703356	-0.80160962
0.97435957	-0.92734171
0.98168558	-1.27311159
0.98901160	-2.95882052
0.99633761	-1.40657126
1.00366362	-0.95317854
1.01098963	-0.78704255
1.01831564	-1.08958907
1.02564165	-0.72069898
1.03296767	-1.08125117
1.04029368	-1.03207736
1.04761969	-1.13417620
1.05494570	-1.19813726
1.06227171	-1.37360544
1.06959773	-1.44790243
1.07692374	-1.87547511
1.08424975	-2.26329104
1.09157576	-4.85120710
1.09890177	-26.36459154
1.10622778	-5.06559034
1.11355380	-7.10298076
1.12087981	-3.50340546
1.12820582	-2.47879187
1.13553183	-2.35226298
1.14285784	-2.55383547
1.15018386	-4.27348055
1.15750987	-7.97073106
1.16483588	-27.15076037
1.17216189	-4.97925910
1.17948790	-2.97797475
1.18681391	-2.50812187
1.19413993	-2.80614003
1.20146594	-3.24016233
1.20879195	-8.40889942
1.21611796	-3.95290068
1.22344397	-4.00144230
1.23076999	-7.44918390
1.23809600	-3.46533371
1.24542201	-3.14567128
1.25274802	-2.86725174
1.26007403	-2.99287655
1.26740004	-2.93800505
1.27472606	-2.96912062
1.28205207	-3.21962596
1.28937808	-3.08683920
1.29670409	-3.31119750
1.30403010	-3.46097089
1.31135612	-3.49208006
1.31868213	-4.04824089
1.32600814	-4.32158871
1.33333415	-3.90914553
1.34066016	-4.27521443
1.34798617	-4.00719314
1.35531219	-4.51949833
1.36263820	-4.31999640
1.36996421	-4.55249889
1.37729022	-4.60486438
1.38461623	-4.72390048
1.39194225	-5.09138428
1.39926826	-5.46501303
1.40659427	-8.77446311
1.41392028	-19.07065263
1.42124629	-6.84849883
1.42857230	-6.13268550
1.43589832	-5.77129320
1.44322433	-6.15165522
1.45055034	-6.01459795
1.45787635	-6.14799436
1.46520236	-6.34487022
1.47252838	-6.31291526
1.47985439	-6.50625615
1.48718040	-6.44448663
1.49450641	-6.59607734
1.50183242	-6.51996209
1.50915843	-6.80055556
1.51648445	-6.84076908
1.52381046	-7.26827024
1.53113647	-7.31807001
