# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:32:41
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.14750458	-0.00000000
-166.11417127	0.00000001
-166.08083796	-0.00000015
-166.04750464	-0.00000015
-166.01417133	-0.00000016
-165.98083802	-0.00000007
-165.94750470	-0.00000104
-165.91417139	0.00000038
-165.88083808	-0.00000057
-165.84750477	-0.00000169
-165.81417145	-0.00000023
-165.78083814	-0.00000228
-165.74750483	0.00000095
-165.71417151	-0.00000340
-165.68083820	-0.00000099
-165.64750489	0.00000195
-165.61417157	0.00000091
-165.58083826	0.00000106
-165.54750495	0.00000369
-165.51417164	0.00000395
-165.48083832	0.00000790
-165.44750501	-0.00000319
-165.41417170	0.00000459
-165.38083838	0.00001920
-165.34750507	0.00001392
-165.31417176	-0.00001772
-165.28083845	0.00000181
-165.24750513	0.00003122
-165.21417182	0.00001291
-165.18083851	-0.00000404
-165.14750519	0.00003977
-165.11417188	-0.00000208
-165.08083857	0.00001565
-165.04750526	0.00002247
-165.01417194	-0.00002846
-164.98083863	-0.00000208
-164.94750532	0.00002267
-164.91417200	0.00002111
-164.88083869	0.00001467
-164.84750538	0.00005691
-164.81417207	0.00006002
-164.78083875	0.00000881
-164.74750544	0.00008032
-164.71417213	0.00003233
-164.68083881	0.00005190
-164.64750550	0.00002435
-164.61417219	0.00003404
-164.58083888	0.00012501
-164.54750556	0.00009037
-164.51417225	0.00008129
-164.48083894	0.00003177
-164.44750562	-0.00000496
-164.41417231	0.00010818
-164.38083900	0.00003130
-164.34750568	0.00007180
-164.31417237	0.00012886
-164.28083906	0.00010900
-164.24750575	0.00011640
-164.21417243	0.00001314
-164.18083912	-0.00009821
-164.14750581	-0.00000012
-164.11417249	0.00010119
-164.08083918	-0.00000484
-164.04750587	0.00001655
-164.01417256	-0.00010956
-163.98083924	0.00013633
-163.94750593	0.00005883
-163.91417262	0.00002960
-163.88083930	0.00002553
-163.84750599	0.00019134
-163.81417268	0.00007860
-163.78083937	0.00005720
-163.74750605	-0.00004363
-163.71417274	-0.00000104
-163.68083943	0.00028845
-163.64750611	0.00008041
-163.61417280	0.00012703
-163.58083949	0.00019769
-163.54750618	0.00026582
-163.51417286	0.00057531
-163.48083955	0.00017440
-163.44750624	0.00003305
-163.41417292	0.00003809
-163.38083961	0.00064230
-163.34750630	0.00005472
-163.31417299	-0.00003482
-163.28083967	0.00012677
-163.24750636	0.00026144
-163.21417305	0.00005504
-163.18083973	0.00057281
-163.14750642	0.00048539
-163.11417311	0.00021412
-163.08083980	0.00022789
-163.04750648	0.00061979
-163.01417317	0.00051249
-162.98083986	0.00038919
-162.94750654	0.00049582
-162.91417323	0.00051114
-162.88083992	0.00066440
-162.84750660	0.00057496
-162.81417329	0.00056226
-162.78083998	0.00019906
-162.74750667	0.00032265
-162.71417335	0.00063489
-162.68084004	0.00061987
-162.64750673	0.00071730
-162.61417341	0.00085044
-162.58084010	-0.00000684
-162.54750679	0.00048933
-162.51417348	0.00042245
-162.48084016	0.00099710
-162.44750685	0.00103768
-162.41417354	0.00039791
-162.38084022	0.00057210
-162.34750691	0.00053939
-162.31417360	0.00074019
-162.28084029	0.00036651
-162.24750697	0.00100615
-162.21417366	0.00023748
-162.18084035	0.00020326
-162.14750703	0.00033551
-162.11417372	0.00039715
-162.08084041	0.00059825
-162.04750710	0.00060132
-162.01417378	0.00109902
-161.98084047	0.00102052
-161.94750716	0.00045451
-161.91417384	0.00066901
-161.88084053	0.00105220
-161.84750722	0.00096502
-161.81417391	0.00076282
-161.78084059	0.00115606
-161.74750728	0.00139619
-161.71417397	0.00048546
-161.68084065	-0.00000939
-161.64750734	0.00060646
-161.61417403	0.00075229
-161.58084071	0.00123721
-161.54750740	0.00110190
-161.51417409	0.00047632
-161.48084078	0.00075758
-161.44750746	0.00101728
-161.41417415	0.00124956
-161.38084084	0.00130371
-161.34750752	0.00069558
-161.31417421	0.00088921
-161.28084090	0.00005270
-161.24750759	0.00064430
-161.21417427	0.00050664
-161.18084096	0.00096136
-161.14750765	0.00010858
-161.11417433	0.00069004
-161.08084102	0.00026408
-161.04750771	0.00024323
-161.01417440	0.00018743
-160.98084108	0.00091377
-160.94750777	0.00074059
-160.91417446	-0.00011086
-160.88084114	0.00017484
-160.84750783	0.00119972
-160.81417452	-0.00003254
-160.78084121	0.00080161
-160.74750789	-0.00023788
-160.71417458	0.00014623
-160.68084127	-0.00010585
-160.64750795	0.00005277
-160.61417464	0.00026451
-160.58084133	0.00037519
-160.54750802	0.00100518
-160.51417470	-0.00020185
-160.48084139	-0.00019014
-160.44750808	0.00018471
-160.41417476	0.00021759
-160.38084145	0.00070401
-160.34750814	0.00049213
-160.31417483	-0.00031817
-160.28084151	0.00063948
-160.24750820	-0.00038419
-160.21417489	-0.00004593
-160.18084157	0.00088034
-160.14750826	0.00000194
-160.11417495	-0.00062177
-160.08084163	-0.00025916
-160.04750832	-0.00058431
-160.01417501	-0.00029387
-159.98084170	-0.00048405
-159.94750838	0.00038304
-159.91417507	0.00012807
-159.88084176	0.00000259
-159.84750844	-0.00064635
-159.81417513	-0.00031360
-159.78084182	0.00016935
-159.74750851	0.00025187
-159.71417519	0.00014605
-159.68084188	-0.00039256
-159.64750857	-0.00045757
-159.61417525	-0.00051676
-159.58084194	-0.00056142
-159.54750863	0.00001504
-159.51417532	-0.00010212
-159.48084200	-0.00039589
-159.44750869	-0.00041759
-159.41417538	-0.00039042
-159.38084206	-0.00068162
-159.34750875	-0.00067827
-159.31417544	-0.00066205
-159.28084213	0.00005605
-159.24750881	-0.00037163
-159.21417550	-0.00097751
-159.18084219	-0.00027842
-159.14750887	-0.00018381
-159.11417556	-0.00068695
-159.08084225	-0.00062205
-159.04750894	-0.00101415
-159.01417562	-0.00024091
-158.98084231	-0.00092804
-158.94750900	-0.00092930
-158.91417568	-0.00095970
-158.88084237	-0.00123109
-158.84750906	-0.00150893
-158.81417575	-0.00124692
-158.78084243	-0.00114874
-158.74750912	-0.00160432
-158.71417581	-0.00175279
