# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 5 waveforms. Timestamp: 2024-12-25T17:09:01
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-166.14750448	0.00070832
-166.11417117	0.00045887
-166.08083786	-0.00061572
-166.04750454	-0.00072609
-166.01417123	0.00019642
-165.98083792	-0.00026035
-165.94750460	-0.00062469
-165.91417129	0.00003056
-165.88083798	0.00028733
-165.84750467	-0.00113284
-165.81417135	0.00070979
-165.78083804	-0.00044120
-165.74750473	-0.00025908
-165.71417141	0.00027156
-165.68083810	-0.00046383
-165.64750479	-0.00048455
-165.61417148	-0.00025179
-165.58083816	0.00009681
-165.54750485	-0.00023514
-165.51417154	-0.00048387
-165.48083822	-0.00018037
-165.44750491	0.00086646
-165.41417160	-0.00081765
-165.38083829	-0.00008913
-165.34750497	0.00055636
-165.31417166	0.00013188
-165.28083835	0.00031757
-165.24750503	0.00015166
-165.21417172	0.00156245
-165.18083841	0.00072029
-165.14750510	0.00077991
-165.11417178	-0.00001178
-165.08083847	0.00077867
-165.04750516	-0.00013153
-165.01417184	0.00147720
-164.98083853	0.00114363
-164.94750522	0.00041797
-164.91417191	0.00055345
-164.88083859	0.00025168
-164.84750528	0.00013180
-164.81417197	0.00070212
-164.78083865	0.00001088
-164.74750534	0.00103749
-164.71417203	0.00037753
-164.68083872	0.00015427
-164.64750540	-0.00071513
-164.61417209	0.00090440
-164.58083878	0.00001149
-164.54750546	-0.00024298
-164.51417215	0.00073113
-164.48083884	-0.00019133
-164.44750553	-0.00075124
-164.41417221	0.00043145
-164.38083890	0.00053850
-164.34750559	-0.00052356
-164.31417227	0.00095124
-164.28083896	0.00066677
-164.24750565	0.00008867
-164.21417234	0.00088812
-164.18083902	-0.00014979
-164.14750571	0.00021111
-164.11417240	0.00007317
-164.08083908	0.00090803
-164.04750577	0.00101402
-164.01417246	-0.00003951
-163.98083915	0.00048483
-163.94750583	0.00013232
-163.91417252	0.00147288
-163.88083921	0.00004908
-163.84750589	0.00010894
-163.81417258	0.00117638
-163.78083927	-0.00007711
-163.74750596	0.00097565
-163.71417264	0.00076929
-163.68083933	0.00133005
-163.64750602	0.00094754
-163.61417270	0.00060165
-163.58083939	0.00189598
-163.54750608	0.00079619
-163.51417277	0.00087907
-163.48083945	0.00036054
-163.44750614	0.00111407
-163.41417283	0.00166220
-163.38083951	0.00202213
-163.34750620	0.00112758
-163.31417289	0.00091264
-163.28083958	0.00143216
-163.24750626	-0.00025862
-163.21417295	0.00111793
-163.18083964	0.00239817
-163.14750632	0.00127972
-163.11417301	0.00106128
-163.08083970	0.00217889
-163.04750639	0.00143394
-163.01417307	0.00161071
-162.98083976	0.00029037
-162.94750645	0.00203447
-162.91417313	0.00182093
-162.88083982	0.00141965
-162.84750651	0.00247984
-162.81417320	0.00138563
-162.78083988	0.00148551
-162.74750657	0.00135607
-162.71417326	0.00074284
-162.68083994	0.00123991
-162.64750663	0.00080138
-162.61417332	0.00233880
-162.58084001	0.00222089
-162.54750669	0.00108515
-162.51417338	0.00173940
-162.48084007	0.00153841
-162.44750675	0.00138075
-162.41417344	0.00177857
-162.38084013	0.00158468
-162.34750682	0.00104399
-162.31417350	0.00203430
-162.28084019	0.00245347
-162.24750688	0.00258573
-162.21417356	0.00178329
-162.18084025	0.00152538
-162.14750694	0.00111969
-162.11417363	0.00182593
-162.08084031	0.00183157
-162.04750700	0.00245448
-162.01417369	0.00322949
-161.98084037	0.00113144
-161.94750706	0.00127016
-161.91417375	0.00217043
-161.88084044	0.00148822
-161.84750712	0.00123596
-161.81417381	0.00131053
-161.78084050	0.00176074
-161.74750718	0.00090014
-161.71417387	0.00080032
-161.68084056	0.00056942
-161.64750725	0.00115141
-161.61417393	0.00140130
-161.58084062	0.00142620
-161.54750731	0.00208165
