Temperature (C),dt_pos,dt_pos_std,dt_pos_S1,dt_pos_S2,dt_pos_S3,dt_pos_S4,dt_pos_S5,dt_neg,dt_neg_std,dt_neg_S1,dt_neg_S2,dt_neg_S3,dt_neg_S4,dt_neg_S5,dt_avg,dt_avg_std,dt_avg_S1,dt_avg_S2,dt_avg_S3,dt_avg_S4,dt_avg_S5,amp_ratio_pos,amp_ratio_pos_std,amp_ratio_pos_S1,amp_ratio_pos_S2,amp_ratio_pos_S3,amp_ratio_pos_S4,amp_ratio_pos_S5,amp_ratio_neg,amp_ratio_neg_std,amp_ratio_neg_S1,amp_ratio_neg_S2,amp_ratio_neg_S3,amp_ratio_neg_S4,amp_ratio_neg_S5,p2p_ratio,p2p_ratio_std,p2p_ratio_S1,p2p_ratio_S2,p2p_ratio_S3,p2p_ratio_S4,p2p_ratio_S5,env_fwhm,env_fwhm_std,env_fwhm_S1,env_fwhm_S2,env_fwhm_S3,env_fwhm_S4,env_fwhm_S5,fwhm_ratio,fwhm_ratio_std,fwhm_ratio_S1,fwhm_ratio_S2,fwhm_ratio_S3,fwhm_ratio_S4,fwhm_ratio_S5,dt_env,dt_env_std,dt_env_S1,dt_env_S2,dt_env_S3,dt_env_S4,dt_env_S5,env_asymmetry,env_asymmetry_std,env_asymmetry_S1,env_asymmetry_S2,env_asymmetry_S3,env_asymmetry_S4,env_asymmetry_S5,delta_rms,delta_rms_std,delta_rms_S1,delta_rms_S2,delta_rms_S3,delta_rms_S4,delta_rms_S5,delta_energy,delta_energy_std,delta_energy_S1,delta_energy_S2,delta_energy_S3,delta_energy_S4,delta_energy_S5,group_delay_ps,group_delay_ps_std,group_delay_ps_S1,group_delay_ps_S2,group_delay_ps_S3,group_delay_ps_S4,group_delay_ps_S5,absorption_integral,absorption_integral_std,absorption_integral_S1,absorption_integral_S2,absorption_integral_S3,absorption_integral_S4,absorption_integral_S5,H_amp_1.0,H_amp_1.0_std,H_amp_1.0_S1,H_amp_1.0_S2,H_amp_1.0_S3,H_amp_1.0_S4,H_amp_1.0_S5,rise_time_ps,rise_time_ps_std,rise_time_ps_S1,rise_time_ps_S2,rise_time_ps_S3,rise_time_ps_S4,rise_time_ps_S5,n@0.5THz,n_std@0.5THz,alpha@0.5THz,n@1.0THz,n_std@1.0THz,alpha@1.0THz,n@1.5THz,n_std@1.5THz,alpha@1.5THz,eps_real@1THz,eps_imag@1THz
20,44.632748090396035,2.6586889624468313,39.98004240611408,43.30340360917262,46.62676481223116,46.62676481223116,46.62676481223116,44.632748090396035,2.6586889624468313,39.98004240611408,43.30340360917262,46.62676481223116,46.62676481223116,46.62676481223116,44.632748090396035,2.6586889624468313,39.98004240611408,43.30340360917262,46.62676481223116,46.62676481223116,46.62676481223116,0.9794537582692499,0.009622842162118256,0.9682000179563971,0.9843533346632501,0.973670724752908,0.9956526007912639,0.9753921131824302,0.9903668930933438,0.0026392752392117467,0.9901770191895398,0.9945574924186229,0.9913545326967395,0.989253719150819,0.9864917020109978,0.9856399290613274,0.004588185938717696,0.9806578025725794,0.9901376178853976,0.9836948890245083,0.9920253593666746,0.9816839764574773,0.934529170299777,0.0013293444812234156,0.9338644980591653,0.9338644980591653,0.9338644980591653,0.9371878592622238,0.9338644980591653,1.0042857152900164,0.0014285714300005024,1.0035714295750162,1.0035714295750162,1.0035714295750162,1.0071428581500175,1.0035714295750162,43.96807084480656,4.408936861347718,36.656676198077776,43.303398604194854,43.303398604194854,49.95012101031193,46.62675980725339,0.21280220382694873,0.0022415979251604917,0.21386316154475654,0.2091442438873032,0.21422860753729736,0.21140032844153242,0.21537467772385405,0.28574692928654793,0.013820395688613164,0.262329331376333,0.2781111842260116,0.2935382969880548,0.30029879290806377,0.29445704093427666,0.49375481204925153,0.046863770353310026,0.4151709148003994,0.4666342353472336,0.5198265578454438,0.5440518403620058,0.5230905118911751,0.04186514861789882,0.004024990090812462,0.03518832234924239,0.04012317297045816,0.0432714284810058,0.04721841832769496,0.0435244009610928,0.029786509461038002,0.005663411990492933,0.032169809870403444,0.018552863547516993,0.03219613430762771,0.03399391647639322,0.03201982310324862,0.9883622393897719,0.008220700685709043,0.9842913917264171,0.9978569289427683,0.9816998498583082,0.9986257921887761,0.97933723423259,1.4403447454051446,0.005794478254806371,1.4423387621269796,1.4423387621269796,1.4489854845330967,1.4356920397208626,1.432368678517804,1.3860913963010848,0.03180684086526519,0.5218318904167676,1.3426840388780599,0.01845905750804378,4.232309446459148,1.3309600822995071,0.02528110819935701,9.765921169544105,1.8026984311035092,0.0271205098488739
30,44.692566872043926,1.661068031533209,43.30340360917262,43.30340360917262,46.72646278163484,46.72646278163484,43.40310157860472,45.357239112667,1.6769496663911387,43.30340360917262,43.30340360917262,46.72646278166326,46.72646278166326,46.72646278166326,45.024902992355464,1.5309684539726711,43.30340360917262,43.30340360917262,46.72646278164905,46.72646278164905,45.06478218013399,0.9833847215673384,0.010350685197101694,0.9709726591810258,0.988904239439094,0.9770178667747383,1.000567060110924,0.9794617823309094,0.9943332309274112,0.0025175309483769733,0.992943922910609,0.9984677713748321,0.9955007009319513,0.9937273615717462,0.9910263978479175,0.9895837573854477,0.0050646686071401026,0.983412768272544,0.9943191023275046,0.9874828302864449,0.9966944291586176,0.9860096568821277,0.935193842540366,0.002658688962443989,0.9338644980591653,0.9338644980591368,0.9338644980591368,0.9405112204652539,0.9338644980591368,1.0014234885459008,0.002846975091812775,1.0000000010000172,1.0000000009999868,1.0000000009999868,1.0071174387295263,1.0000000009999868,44.71250147423689,3.4166731401594665,39.98003741440925,46.72645778995843,43.40309658689989,50.04981899301697,43.40309658689989,0.21487093215832348,0.004033490286371534,0.21343060405437533,0.20900766515075142,0.21795290909175738,0.21334284288638103,0.22062063960835235,0.28558563648905927,0.010279867123277903,0.2692053892792135,0.28079396851565813,0.2978402493817904,0.29490078238451306,0.285187792884121,0.4926788694666392,0.03520451080878035,0.43721806774923644,0.4756788404725054,0.5351627976659115,0.5246628333089423,0.49067180813660033,0.042747122586360306,0.003580827812155904,0.03701783919286823,0.041875024094391894,0.04350811834383814,0.048206235254636416,0.04312839604606682,0.02030701166069429,0.005404129905179484,0.025791210653298383,0.009931776646213803,0.021665201103635127,0.022402052452762097,0.02174481744756205,0.9923332285330794,0.00811675846069752,0.9866314536685588,1.0016176440926101,0.9886067845717988,1.0023248455445037,0.9824854147879256,1.438350728683281,0.004884323507073273,1.4423387621269512,1.4423387621269512,1.4423387621269512,1.4323686785177756,1.4323686785177756,1.3816325140740244,0.03804424799312124,0.07031431178126364,1.3444570900947284,0.017203733919912007,2.446004726485601,1.3283501750676134,0.01969522723542874,3.5199782274202613,1.807530799013944,0.0156946215324725
40,42.07375709735288,2.6586889624468313,40.07974037551776,40.07974037551776,46.72646278163484,43.4031015785763,40.07974037551776,42.0737570973813,1.6281078356910907,40.07974037554618,43.40310157860472,43.40310157860472,43.40310157860472,40.07974037554618,42.07375709736709,1.9378359304229547,40.07974037553197,41.74142097706124,45.06478218011978,43.40310157859051,40.07974037553197,0.982327481569022,0.009525019915387628,0.9693575777197524,0.9854441430179991,0.9826501122688877,0.997820733803217,0.9763648410352541,0.9914987139672296,0.002390243005434639,0.9905900032417801,0.9947331086294512,0.9931402830745565,0.9913474283822746,0.9876827465080855,0.9875180462283037,0.004809145998933844,0.981374313613067,0.9907013401460001,0.9885871453184891,0.9941570920059326,0.9827703400580301,0.9391818759840305,0.004508026466451838,0.9338644980591368,0.9371878592621954,0.947157942871371,0.9405112204652539,0.9371878592621954,1.005693950177938,0.0048272811267811916,1.0,1.0035587188612112,1.0142348754448447,1.0071174377224223,1.0035587188612112,39.315360165488755,2.486975798859268,36.65667120304761,39.98003240610615,39.98003240610615,43.303393609136265,36.65667120304761,0.21383388963565725,0.0023928511924084976,0.21398801944643625,0.21215358203109708,0.21251532963239494,0.212094247508631,0.2184182695597269,0.26648762182808416,0.007433161415382844,0.26408628361690745,0.2661087053760989,0.2789268201092294,0.267530466021672,0.25578583401651306,0.4287693022651293,0.024015558580069304,0.4207462824477421,0.4272275796007889,0.46936632150345436,0.43179191306812403,0.39471441470553725,0.03798340050976712,0.002535777066871195,0.03523563142252636,0.03893521049975163,0.03689073092020819,0.0424549772115958,0.036400452494753606,0.029685170586950433,0.006671064158342175,0.033363556552772,0.017812273863722604,0.0376722500069849,0.03123877134898007,0.028339001162292606,0.9924440153488454,0.009261177187355212,0.9846048460287995,0.9985870261501193,1.00184498193575,0.9988774669110227,0.9783057557185356,1.4396800731645043,0.004884323507073273,1.4423387621269512,1.4423387621269512,1.4456621233300098,1.4323686785177756,1.4356920397208341,1.3532801696813057,0.04207308015392232,1.3509142834516576,1.3172254749271448,0.012912462514360446,1.7267383891041699,1.3057325475275348,0.013199470763181623,13.662901041450358,1.7350659738053429,0.010855086172592607
50,40.72447302224873,2.5190630218937953,43.4031015785763,40.07974037551776,43.4031015785763,40.07974037551776,36.65668120305554,38.06578405982464,1.6447913704897794,36.75637917248764,40.07974037554618,40.07974037554618,36.75637917248764,36.65668120305554,39.395128541036684,1.7260493690284386,40.07974037553197,40.07974037553197,41.74142097706124,38.4180597740027,36.65668120305554,0.9805011567611766,0.009261169151305053,0.9685625513674381,0.9865316051588344,0.9880055812261029,0.9895101439639954,0.9698959020895118,0.9894381610910917,0.0033718219712180306,0.9900198581895097,0.9936306684650279,0.9913426740951831,0.9886483733055277,0.9835492314002101,0.9855519427936515,0.005338257007926103,0.9806892396391088,0.9905436709995723,0.9898915534635566,0.9890231106087116,0.9776121392573093,0.9351938425403603,0.002658688962446831,0.9338644980591368,0.9338644980591368,0.9405112204652539,0.9338644980591368,0.9338644980591368,1.0014234875444845,0.0028469750889689393,1.0,1.0,1.0071174377224223,1.0,1.0,34.662654481212485,3.988033443670247,30.00994879693053,39.98003240610615,36.65667120304761,36.65667120304761,30.00994879693053,0.21611822405615772,0.004537183240986528,0.21941324779561763,0.20909877127060172,0.21414980133597927,0.21559409424790754,0.22233520563068243,0.24820188779183766,0.009960881630269808,0.25239904190421164,0.2551775980643405,0.2581876452029566,0.24491161621962215,0.23033353756805744,0.3722513864035817,0.029311548966634703,0.3843260247668225,0.3928466185711872,0.4021609207240874,0.3618566933752745,0.32006667458053667,0.03731533135729462,0.002922982719793017,0.033905035958860304,0.03935293199319716,0.03937112767900024,0.040326212266692495,0.03362134888872289,0.028611635183458505,0.006229997327247561,0.033796938295660266,0.01725468610425073,0.033067331405185356,0.026565199431723637,0.03237402068047254,0.990160067785528,0.009415126230691243,0.9847140006164159,0.9982462409860736,1.0004386936781589,0.9926192274178965,0.9747821762290949,1.4363567119614458,0.0038756718608459096,1.4423387621269512,1.4356920397208341,1.4390154009238927,1.4323686785177756,1.4323686785177756,1.3391858633460643,0.04511611019208873,1.818969883169289,1.2935583708128209,0.013854041734481765,0.3790773290939118,1.2903641842330982,0.01597547273424881,8.39640671543289,1.6732924404445721,0.0023402402923994687
60,41.309386887337496,2.6586889624468313,43.30340360917262,43.30340360917262,43.30340360917262,39.98004240611408,36.65668120305554,38.650697924890665,1.6281078356910907,39.98004240611408,39.98004240611408,39.98004240611408,36.65668120305554,36.65668120305554,39.98004240611408,2.101878177820465,41.64172300764335,41.64172300764335,41.64172300764335,38.31836180458481,36.65668120305554,0.9816688109183509,0.007712914461586463,0.9681294090798905,0.9897763401270259,0.9870408947003344,0.9848241448259177,0.978573265858586,0.9902071886490091,0.0021922484284379864,0.9887581189377712,0.9922395060730107,0.9931633555078954,0.9896200629602495,0.9872548997661188,0.9864950955838804,0.004313358206956329,0.979789706761412,0.991168635058073,0.9905015917604725,0.9875350188208395,0.9834805255186053,0.9318704813373131,0.0016281078356934116,0.9338644980591653,0.9338644980591368,0.9305411368560783,0.9305411368560783,0.9305411368561067,1.0014285724299972,0.0017496355323121115,1.0035714295750162,1.0035714295749858,1.0000000009999845,1.0000000009999845,1.0000000010000152,36.051822759048946,3.9201790208558918,33.333315014942855,40.07973539049203,40.07973539049203,36.756374187433494,30.009953811884316,0.21326282067903785,0.0034125284159738276,0.21512700988486397,0.21077289645244401,0.2098030312122,0.21154819496206312,0.2190629708836182,0.2536096037966348,0.014227265317143177,0.2623684450004376,0.26750814319803407,0.26485946452055414,0.2411714466582813,0.23214051960586674,0.38924678598646817,0.04294655001059941,0.4152894720793427,0.43173329003402994,0.42321376012587847,0.3508870529596208,0.3251103547334687,0.037894385905178726,0.00237747706417958,0.036059963301536074,0.04060386775708492,0.04005261293132172,0.03841455781251315,0.034340927723437775,0.025691347393309628,0.00454942022213956,0.03244001470012499,0.028946725046512245,0.01945485098170692,0.022985068048982097,0.02463007818922188,0.9895924851659398,0.008178315801578349,0.983123764828234,1.0002438689604103,0.996937471530983,0.9892478736341801,0.9784094468758917,1.4356920397208455,0.0029725046255170396,1.4390154009238927,1.4390154009238927,1.4356920397208341,1.432368678517804,1.432368678517804,1.33628324827797,0.052128578943484584,1.5461782232464927,1.2974890373288837,0.017846657017672636,1.5263348212401215,1.2928279421939284,0.017769557579786766,8.092959947250336,1.6834645362067469,0.009451486514143584
70,39.98004240611408,2.101878177820465,39.98004240611408,43.30340360917262,39.98004240611408,39.98004240611408,36.65668120305554,39.31537016550237,1.3293444812234156,39.98004240611408,39.98004240611408,39.98004240611408,39.98004240611408,36.65668120305554,39.647706285808226,1.6281078356910907,39.98004240611408,41.64172300764335,39.98004240611408,39.98004240611408,36.65668120305554,0.9814032723426973,0.008007948142658178,0.9656369434682553,0.9869513546584316,0.9850805383614162,0.9864574841623744,0.9828900410630091,0.9900952816376654,0.002071696139992091,0.9895416840345067,0.9923096633690779,0.9926405439139617,0.9873118561683817,0.9886726607023985,0.986311350784715,0.003862240095667841,0.9791351275881419,0.989977007137154,0.9893494132572891,0.9869399186239408,0.9861552873170492,0.9312058090967185,0.002486975798868383,0.9305411368561067,0.9338644980591653,0.9305411368561067,0.9338644980591653,0.9272177756530482,1.0043010762731328,0.0026821916777898147,1.0035842303942795,1.0071684597885457,1.0035842303942795,1.0071684597885457,1.000000001000013,37.32134844531174,3.2562156713821815,33.333315001641495,39.98003740775857,39.98003740775857,39.98003740775857,33.333315001641495,0.21082699341961347,0.0028452355094788664,0.21416069355769085,0.2100708299371833,0.20685222126971545,0.20907443404722909,0.21397678828624875,0.25330892339799416,0.013741586454013724,0.258966893472877,0.26933706461222356,0.2590096977638878,0.250744776907257,0.22848618423372527,0.38824921378574917,0.04106315953759619,0.4045927938698865,0.43765645737196224,0.4047286972468271,0.37930735618647227,0.3149607642535978,0.03713050263497071,0.0021120493520435948,0.03414099282255247,0.039568471653083005,0.037717473009168556,0.03899397611680497,0.03523159957324454,0.026972760016891743,0.005462515606193452,0.030723355769711466,0.02566243450919624,0.025253214336669803,0.0346806969048591,0.018544098564022112,0.9902398032124571,0.006575104467876546,0.9836117053963117,0.9983815011601442,0.9965890414437187,0.9904746850288577,0.9821420830332526,1.434362695239639,0.004973951597736766,1.439015400923921,1.439015400923921,1.4356920397208626,1.432368678517804,1.425721956111687,1.3379136725136698,0.050753974622003005,1.1661143657414397,1.2972403857170343,0.017657763929514413,1.014301343723155,1.291199389245611,0.016776220740852117,9.474195088616352,1.682826760094337,0.006279630226237033
80,38.650697924890665,2.6586889624468313,39.98004240611408,39.98004240611408,39.98004240611408,39.98004240611408,33.333319999997,39.31537016550237,1.3293444812234156,39.98004240611408,39.98004240611408,39.98004240611408,39.98004240611408,36.65668120305554,38.98303404519652,1.9940167218351235,39.98004240611408,39.98004240611408,39.98004240611408,39.98004240611408,34.99500060152627,0.9801919427117639,0.0065096850449037165,0.9674977068320165,0.9830627301053695,0.9831698017045561,0.9813568335463347,0.9858726413705421,0.9895832258411984,0.0030211243366879957,0.9902686071636699,0.9930130672753049,0.9924183968629454,0.9853301408145466,0.9868859170895253,0.985492294712113,0.0031460013598777503,0.9803493891270956,0.9886786069558409,0.9883896219540963,0.9835993308533387,0.9864445246701933,0.9305411368560783,0.0021018781778204655,0.9272177756530198,0.9305411368560783,0.9305411368560783,0.9338644980591368,0.9305411368560783,1.0035842303942486,0.0022668657084814903,1.0000000009999823,1.0035842303942488,1.0035842303942488,1.007168459788515,1.0035842303942488,35.99200395416915,1.3293444812234156,33.33331499172232,36.65667619478086,36.65667619478086,36.65667619478086,36.65667619478086,0.21058501305010452,0.0007559733987396824,0.2108640945631552,0.21163349249046118,0.2092890728498797,0.21058189778395367,0.21055650756307306,0.2509579683377008,0.010549127455735,0.2529713770017919,0.2605040201134603,0.2576322788610716,0.25303165720910276,0.23065050850307753,0.38062707012206637,0.031122683084525208,0.38607191573508925,0.40941656567805873,0.4004332006782845,0.3862576881076111,0.3209559804112885,0.036186465383589946,0.0018628669217945662,0.03328834353581646,0.03855401889866096,0.03783493254828429,0.03557928186163734,0.03567575007355067,0.02964304201453461,0.008700943747709173,0.029452019662094327,0.022589940160339994,0.0278135677160389,0.04610119404424334,0.022258488489956478,0.9897050957196493,0.005207287375143478,0.984745273169658,0.9958268096702574,0.994943505659109,0.9900813343111744,0.9829285557880479,1.432368678517787,0.005148529037140019,1.4356920397208341,1.4356920397208341,1.4356920397208341,1.432368678517804,1.4223985949086284,1.3382535826873667,0.0521586527885466,1.5153899942383082,1.2929153904141784,0.016600690663611296,1.4640540967215863,1.2884749119813033,0.01434022877849988,9.54435604345095,1.67161800149745,0.009033870050235548
90,39.31536016552286,1.3293444812234156,39.98003240613457,39.98003240613457,39.98003240613457,39.98003240613457,36.65667120307603,39.31536016552286,1.3293444812234156,39.98003240613457,39.98003240613457,39.98003240613457,39.98003240613457,36.65667120307603,39.31536016552286,1.3293444812234156,39.98003240613457,39.98003240613457,39.98003240613457,39.98003240613457,36.65667120307603,0.979197810962661,0.006850752906792325,0.9683273066248401,0.9809062303075606,0.9817232839098818,0.9759901230993934,0.9890421108716291,0.989456163633824,0.003858550256865935,0.9907029785215369,0.9942357729269528,0.9923319315634294,0.9839686591904587,0.986041475966743,0.9849830754488063,0.0035025762947660443,0.9809462118357605,0.9884235122732415,0.9877060995220437,0.9804896702468434,0.9873498833661423,0.929876463685605,0.0032562156681240273,0.9238944135260851,0.9305411359255515,0.9305411359255515,0.9338644971252847,0.9305411359255515,1.0028673825096637,0.0035118132477891923,0.9964157696128912,1.0035842283870826,1.0035842283870826,1.0071684577741784,1.0035842283870826,38.650692911267015,1.6281078340620139,36.656676191427096,39.980037391160295,36.656676191427096,39.980037391160295,39.980037391160295,0.206491009591618,0.0010722719841243864,0.20597141922621331,0.20545080510170433,0.20811835280561616,0.2055228079981613,0.20739166282639504,0.2614758288582178,0.007928759563361167,0.2612359335242331,0.2723511982926799,0.2647625756640088,0.2611584413415781,0.24787099546858896,0.41284578754744466,0.02483373892783707,0.4117072956579877,0.44749530201710086,0.4228990581055223,0.4114559907899613,0.37067129116665126,0.03689753657250311,0.0012189661610510635,0.035034014265383245,0.03812415239018519,0.03702624967678204,0.036077763292962105,0.038225503237202973,0.029980843981525358,0.00784139283160839,0.027256648231427497,0.020963946156977054,0.029828269128340877,0.04452879920997681,0.02732655718090455,0.9888443336839139,0.0047095378739683644,0.9838872379900044,0.9941590344392063,0.9947411164220797,0.9870862933657594,0.9843479862025193,1.4310393340365806,0.006163916783979304,1.4356920397208626,1.432368678517804,1.4356920397208626,1.432368678517804,1.4190752337055699,1.341738247027682,0.05271821801077406,-1.6080509273874004,1.3029526127691462,0.013896294032087239,2.2371421095495476,1.29035386158999,0.006815853044514914,11.77802552355306,1.6976570127288106,0.013911334819342683
100,37.986015684271024,1.6281078356910907,36.65667120304761,36.65667120304761,39.98003240610615,39.98003240610615,36.65667120304761,35.9919989624359,1.3293444812234156,36.65667120304761,36.65667120304761,36.65667120304761,36.65667120304761,33.33330999998907,36.98900732335346,1.2434878994341916,36.65667120304761,36.65667120304761,38.31835180457688,38.31835180457688,34.99499060151834,0.9791839635576156,0.00592189959479303,0.9741630849296574,0.9762614385073618,0.9796177529549905,0.9754151820389154,0.9904623593571533,0.9897830689644133,0.004468145192219606,0.9935467714061226,0.9943056826683467,0.9923214070964435,0.9840771554490662,0.9846643282020869,0.9851572355206015,0.0025308487504529433,0.9850870286518251,0.9864305210481356,0.9867770723690559,0.980296756561403,0.9871947989725885,0.9272177747258183,0.0029725046225554754,0.9238944135260851,0.9238944135260851,0.9272177747258183,0.9305411359255515,0.9305411359255515,1.003597121298549,0.003217363993184297,0.999999998999989,0.999999998999989,1.0035971212985493,1.0071942435971093,1.0071942435971093,33.99798724159382,1.3293444799046485,33.333315001641495,33.333315001641495,33.333315001641495,33.333315001641495,36.656676201403116,0.2054316236509474,0.0014889284254700555,0.20545186120674835,0.20358208173861742,0.20558824702900064,0.2080342968843622,0.20450163139600816,0.24347901462008426,0.007373767861099836,0.2501018176727179,0.2418517740813218,0.2496820479601377,0.2457591498305499,0.230000283555694,0.35797204838192187,0.021345760489600824,0.3773647237991167,0.3528818117552328,0.37609612653662616,0.36436409212016796,0.3191534876984656,0.03421025183195726,0.0012375812676383242,0.03396529073960163,0.0319545426397689,0.03451567635816095,0.03524883674625285,0.03536691267600194,0.030270926639059913,0.007908863856841235,0.02157678637017802,0.022638769885415418,0.029670015359769722,0.0429349153551557,0.034534146224780723,0.9885684724215338,0.004348553552639233,0.9893570688959525,0.9924350018499604,0.9937554183750641,0.982298351943989,0.9849965210427031,1.4317040062771866,0.005317377924889399,1.4290453173147455,1.4356920397208341,1.4356920397208626,1.4356920397208626,1.4223985949086284,1.319776705215875,0.052168880752626774,-1.018642672407929,1.2797799611542735,0.014276311245766067,2.2656907678862845,1.2710698988215037,0.005849401529747725,6.903590828250003,1.6378075185895544,0.013838293913816975
110,39.98003240610615,2.101878177820465,43.30339360916469,39.98003240610615,39.98003240610615,39.98003240610615,36.65667120304761,37.321343443659316,2.486975798868383,39.98003240610615,39.98003240610615,36.65667120304761,36.65667120304761,33.33330999998907,38.65068792488273,2.204468430673859,41.64171300763542,39.98003240610615,38.31835180457688,38.31835180457688,34.99499060151834,0.9827945094850336,0.005770035868372209,0.987406892623102,0.9766661081874386,0.9803665078759927,0.9779122378185683,0.9916208009200663,0.9915840206196975,0.004809494381012501,0.9951809605322557,0.9963310602163565,0.994947500739638,0.9853188814367669,0.9861417001734701,0.9877472403025742,0.003152512623705033,0.9917874395183066,0.9877469535776869,0.9885826340745604,0.982085747760176,0.9885334265821404,0.9252237580059784,0.003389176721631342,0.9272177747258183,0.920571052326352,0.9238944135260851,0.9305411359255515,0.9238944135260851,1.0014388479194132,0.0036683593586275794,1.0035971212985493,0.9964028767014289,0.999999998999989,1.0071942435971093,0.999999998999989,36.756374187433494,0.0,36.756374187433494,36.756374187433494,36.756374187433494,36.756374187433494,36.756374187433494,0.20412944919287485,0.00163630661379593,0.20693105575181797,0.20281989863033575,0.20220305786764886,0.2042510460511666,0.20444218766340505,0.2611807882967418,0.012437760328153595,0.2769395234703959,0.2667219900153144,0.2647868023608246,0.2579822772870009,0.23947334835017312,0.4124656617375978,0.03860855366145583,0.4626958651445917,0.4291781903774284,0.42296308306630737,0.40151279232151055,0.3459783777781509,0.03746338249930546,0.001465072990875654,0.0396466144240877,0.035841021663625336,0.037054514678279825,0.036131412586884674,0.038643349143649745,0.025241364245872276,0.009195895998597525,0.022977874946322217,0.01690618772081004,0.01936453568901615,0.04291218869507324,0.024046034178139733,0.989137495494397,0.006726328859445634,0.9980012333849522,0.9925712762255261,0.9924788273899394,0.9802204640817207,0.982415676389847,1.4297099895553287,0.004408936861347718,1.429045317314717,1.4356920397208341,1.4323686785177756,1.429045317314717,1.4223985949086,1.3344250154982575,0.05263588205671825,-1.6522066305802945,1.3044051788739301,0.019126462489069237,4.0172516731725905,1.2947947184354551,0.012948023306888693,5.8366950180282,1.7013809757944576,0.025008529985954084
